id_venda,id_produto,quantidade
1,69,1
2,122,1
3,109,1
4,125,1
5,38,1
6,201,1
7,160,1
8,193,1
9,32,1
9,30,1
9,34,1
9,176,1
10,170,1
11,44,1
12,210,1
13,151,1
14,200,1
15,161,2
16,96,1
16,151,1
17,51,1
18,168,1
19,155,1
19,126,1
19,197,1
19,129,1
20,95,1
20,184,1
21,40,1
22,72,2
23,146,1
24,63,1
25,27,1
26,52,1
26,19,1
26,195,1
27,72,1
27,185,1
28,118,1
29,115,1
30,220,1
30,151,1
30,33,1
31,40,1
31,112,3
32,139,1
33,1,1
34,196,1
34,42,1
35,80,1
36,220,1
37,96,1
38,123,1
38,126,1
39,145,1
40,8,1
41,152,1
42,123,2
43,59,2
43,125,1
43,85,1
43,38,1
44,41,1
44,16,1
44,90,1
44,204,1
45,171,1
45,124,1
45,158,1
46,65,1
47,80,1
48,200,1
49,209,1
49,101,1
50,191,1
51,112,1
51,169,1
52,196,1
53,12,1
54,125,1
54,145,1
54,137,1
54,5,1
55,203,1
56,138,1
57,104,1
58,172,1
59,114,1
60,10,1
60,214,1
60,202,1
60,170,1
61,169,1
61,5,1
61,87,1
62,10,1
63,218,1
64,165,1
65,185,1
66,180,1
66,175,1
66,132,1
67,202,1
68,170,1
69,27,1
70,93,1
70,119,1
71,203,1
72,101,1
73,190,1
73,112,1
74,212,1
74,64,1
74,193,1
74,98,2
75,62,2
76,202,2
76,72,1
77,127,1
78,17,1
79,64,1
79,10,1
80,164,1
81,27,1
82,86,1
83,80,1
84,63,1
85,13,1
86,5,1
87,54,1
88,140,1
89,179,1
89,214,1
90,44,2
91,76,1
92,91,1
93,53,1
93,141,1
94,94,1
95,120,1
96,71,1
96,207,1
97,178,1
98,40,1
98,14,2
98,71,1
98,152,3
99,83,1
100,200,1
101,160,1
101,195,1
102,6,1
103,117,1
104,96,1
105,200,2
105,57,1
106,22,1
106,188,1
107,94,3
107,203,1
108,194,1
108,49,1
108,154,2
109,26,1
109,41,1
110,195,1
110,125,1
111,199,1
112,150,1
113,197,1
113,88,1
113,111,1
113,115,1
114,39,1
114,167,2
115,200,1
116,218,1
117,67,1
118,89,1
119,119,1
120,75,1
121,60,1
122,40,1
123,51,1
124,60,1
124,208,1
125,192,1
126,145,1
127,81,1
127,212,1
128,33,2
129,70,1
130,127,1
131,204,1
132,73,1
133,58,1
133,161,1
134,26,1
135,180,1
136,92,1
137,79,1
138,72,1
139,185,1
140,63,1
141,79,1
142,94,1
143,81,1
144,113,1
144,103,1
145,124,1
145,2,1
146,40,1
147,29,2
147,5,1
148,196,1
149,166,1
150,12,1
151,58,2
152,107,1
153,102,2
154,94,2
154,201,2
155,28,1
155,173,1
156,191,1
157,136,1
158,85,2
159,210,1
159,34,1
160,125,1
160,25,1
161,77,1
162,42,1
162,132,1
163,153,1
163,162,1
164,92,1
164,12,1
165,204,1
166,170,1
167,144,1
168,81,1
169,206,1
169,66,1
170,46,1
171,27,1
171,88,1
172,102,1
173,169,1
174,185,1
175,59,1
176,30,1
177,42,1
177,5,1
178,1,1
179,148,1
180,120,1
181,101,1
182,202,1
182,130,1
183,135,1
184,75,1
184,192,1
185,145,2
186,185,1
187,205,1
188,187,1
189,124,1
190,139,1
190,49,2
190,188,1
191,163,1
191,156,1
191,49,1
