id_venda,forma_de_pagamento,parcelas,bandeira
1,credito,2,Elo
2,credito,1,Mastercard
3,credito,1,Diners
4,credito,1,Elo
5,credito,3,Diners
6,pix,0,
7,pix,0,
8,credito,2,Elo
9,pix,0,
10,credito,4,American Express
11,debito,1,Diners
12,pix,0,
13,pix,0,
14,debito,1,Hipercard
15,debito,1,Elo
16,credito,1,Diners
17,credito,1,Elo
18,credito,2,Diners
19,pix,0,
20,credito,2,Elo
21,credito,3,Diners
22,credito,12,Visa
23,debito,1,Diners
24,debito,1,Visa
25,credito,2,Elo
26,boleto,0,
27,credito,2,Mastercard
28,credito,12,Visa
29,credito,6,Mastercard
30,credito,3,Diners
31,debito,1,Visa
32,credito,2,American Express
33,credito,1,Hipercard
34,boleto,0,
35,credito,3,Hipercard
36,credito,1,Hipercard
37,debito,1,Elo
38,debito,1,Diners
39,credito,3,Visa
40,credito,6,Hipercard
41,credito,1,Elo
42,boleto,0,
43,credito,2,Hipercard
44,credito,6,Visa
45,pix,0,
46,boleto,0,
47,debito,1,Mastercard
48,debito,1,Mastercard
49,credito,2,American Express
50,pix,0,
51,credito,2,Diners
52,pix,0,
53,boleto,0,
54,credito,1,Mastercard
55,debito,1,American Express
56,debito,1,Mastercard
57,credito,2,Hipercard
58,pix,0,
59,credito,2,Mastercard
60,credito,1,Mastercard
61,credito,10,Elo
62,pix,0,
63,credito,6,Diners
64,credito,3,Hipercard
65,credito,6,Mastercard
66,credito,3,American Express
67,boleto,0,
68,credito,2,Diners
69,credito,3,Visa
70,credito,3,Elo
71,pix,0,
72,credito,1,Hipercard
73,debito,1,Hipercard
74,boleto,0,
75,pix,0,
76,credito,2,Diners
77,boleto,0,
78,boleto,0,
79,debito,1,Hipercard
80,credito,2,American Express
81,credito,10,Hipercard
82,credito,3,Elo
83,debito,1,Hipercard
84,credito,2,Elo
85,debito,1,Visa
86,credito,2,Elo
87,credito,4,American Express
88,pix,0,
89,debito,1,American Express
90,boleto,0,
91,debito,1,American Express
92,debito,1,Visa
93,pix,0,
94,credito,1,Mastercard
95,pix,0,
96,boleto,0,
97,credito,12,Visa
98,credito,2,American Express
99,debito,1,Mastercard
100,credito,3,Elo
101,credito,1,Diners
102,debito,1,Elo
103,debito,1,Mastercard
104,credito,12,Hipercard
105,debito,1,Elo
106,credito,2,Diners
107,boleto,0,
108,debito,1,American Express
109,credito,1,Visa
110,credito,2,Hipercard
111,debito,1,Visa
112,pix,0,
113,credito,6,Visa
114,pix,0,
115,pix,0,
116,pix,0,
117,boleto,0,
118,debito,1,Elo
119,credito,2,Mastercard
120,pix,0,
121,credito,1,Elo
122,credito,4,Visa
123,boleto,0,
124,debito,1,Elo
125,credito,3,American Express
126,credito,3,Hipercard
127,credito,12,Visa
128,debito,1,Hipercard
129,debito,1,Visa
130,boleto,0,
131,debito,1,American Express
132,credito,3,Visa
133,pix,0,
134,credito,3,American Express
135,pix,0,
136,boleto,0,
137,debito,1,Mastercard
138,boleto,0,
139,pix,0,
140,pix,0,
141,pix,0,
142,debito,1,Hipercard
143,credito,1,American Express
144,credito,10,Diners
145,pix,0,
146,debito,1,Hipercard
147,debito,1,Diners
148,credito,2,Visa
149,boleto,0,
150,credito,1,Visa
151,debito,1,Visa
152,credito,12,Hipercard
153,credito,10,Mastercard
154,credito,1,American Express
155,debito,1,Hipercard
156,boleto,0,
157,debito,1,Hipercard
158,credito,1,Visa
159,debito,1,Visa
160,credito,2,Diners
161,debito,1,Elo
162,credito,1,Mastercard
163,credito,12,Elo
164,credito,10,Elo
165,credito,4,Diners
166,credito,2,Elo
167,boleto,0,
168,boleto,0,
169,boleto,0,
170,boleto,0,
171,credito,2,Elo
172,debito,1,Mastercard
173,pix,0,
174,credito,10,Visa
175,debito,1,Diners
176,debito,1,Hipercard
177,credito,2,Visa
178,boleto,0,
179,debito,1,American Express
180,pix,0,
181,boleto,0,
182,debito,1,Diners
183,pix,0,
184,debito,1,Elo
185,debito,1,Hipercard
186,credito,2,Visa
187,debito,1,Visa
188,pix,0,
189,credito,1,Hipercard
190,debito,1,Mastercard
191,credito,4,Elo
192,boleto,0,
193,credito,6,American Express
194,debito,1,American Express
195,debito,1,American Express
196,credito,2,Mastercard
197,pix,0,
198,credito,2,Mastercard
199,credito,1,Mastercard
200,credito,1,Visa
201,pix,0,
202,boleto,0,
203,credito,4,American Express
204,credito,3,Mastercard
205,credito,1,Elo
206,pix,0,
207,credito,4,Hipercard
208,credito,1,Elo
209,boleto,0,
210,debito,1,Hipercard
211,credito,2,Mastercard
212,credito,10,Visa
213,debito,1,Hipercard
214,credito,6,American Express
215,credito,1,Hipercard
216,credito,3,American Express
217,credito,2,Visa
218,pix,0,
219,credito,2,Mastercard
220,credito,3,Diners
221,pix,0,
222,credito,1,Elo
223,credito,1,Visa
224,debito,1,Hipercard
225,credito,2,Mastercard
226,debito,1,Mastercard
227,credito,3,Visa
228,credito,10,Elo
229,credito,10,American Express
230,credito,4,Elo
231,credito,3,Visa
232,credito,3,Mastercard
233,debito,1,Mastercard
234,debito,1,Hipercard
235,debito,1,Visa
236,credito,1,Diners
237,debito,1,Elo
238,credito,2,American Express
239,credito,1,Diners
240,debito,1,Diners
241,debito,1,Visa
242,pix,0,
243,credito,10,Visa
244,debito,1,Mastercard
245,pix,0,
246,boleto,0,
247,debito,1,Mastercard
248,credito,1,Elo
249,credito,12,American Express
250,pix,0,
251,boleto,0,
252,pix,0,
253,pix,0,
254,debito,1,Hipercard
255,debito,1,Visa
256,credito,2,Visa
257,credito,2,Visa
